experiment,collection_window,metric,scope,sample_index,value,unit
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE3,3,35.21,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE4,0,10.07,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE4,1,9.76,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE4,2,9.56,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE4,3,9.74,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE5,0,33.8,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE5,1,36.25,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE5,2,36.3,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE5,3,36.16,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE6,0,21.89,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE6,1,36.69,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE6,2,31.09,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE6,3,34.55,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE7,0,28.69,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE7,1,23.41,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE7,2,24.35,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE7,3,22.21,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE8,0,21.56,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE8,1,34.38,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE8,2,35.83,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE8,3,36.14,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE9,0,30.2,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE9,1,31.67,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE9,2,34.35,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE9,3,32.92,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE10,0,35.07,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE10,1,34.13,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE10,2,35.87,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE10,3,35.25,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE11,0,30.64,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE11,1,28.14,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE11,2,28.91,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE11,3,30.22,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE12,0,29.17,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE12,1,30.58,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE12,2,33.79,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE12,3,34.62,ns
