experiment,collection_window,metric,scope,sample_index,value,unit
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,45,840.35,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,46,838.88,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,47,839.57,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,48,838.9,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,49,839.45,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,50,838.31,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,51,838.99,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,52,838.27,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,53,839.43,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,54,837.67,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,55,839.06,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,56,838.73,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,57,839.91,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,58,839.35,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,59,838.75,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,0,838.73,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,1,839.37,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,2,839.93,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,3,838.1,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,4,838.44,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,5,842.63,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,6,839.11,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,7,840.95,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,8,839.7,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,9,846.87,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,10,837.96,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,11,839.28,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,12,838.91,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,13,840.18,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,14,837.87,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,15,838.6,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,16,837.76,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,17,838.87,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,18,839.35,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,19,837.86,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,20,838.67,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,21,838.79,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,22,839.15,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,23,838.06,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,24,838.82,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,25,837.63,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,26,838.87,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,27,783.79,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,28,835.54,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,29,836.43,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,30,835.44,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,31,836.6,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,32,835.55,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,33,835.8,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,34,835.38,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,35,836.69,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,36,839.51,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,37,839.65,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,38,840.3,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,39,842.26,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,40,840.26,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,41,846.16,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,42,842.11,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,43,848.09,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,44,839.3,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,45,840.77,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,46,838.91,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,47,839.79,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,48,839.08,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,49,840.19,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,50,838.93,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,51,839.91,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,52,838.81,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,53,839.93,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,54,838.58,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,55,839.33,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,56,838.68,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,57,840.04,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,58,840.04,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN3,59,839.34,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN4,0,838.13,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN4,1,839.49,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN4,2,839.39,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN4,3,837.26,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN4,4,838.05,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN4,5,842.0,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN4,6,838.9,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN4,7,840.82,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN4,8,839.38,MB/s
