experiment,collection_window,metric,scope,sample_index,value,unit
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE15,0,38.25,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE15,1,32.63,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE15,2,37.43,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE15,3,35.75,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE16,0,33.71,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE16,1,32.81,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE16,2,33.62,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE16,3,32.92,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE17,0,39.69,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE17,1,28.24,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE17,2,35.25,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE17,3,30.14,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE18,0,35.34,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE18,1,28.15,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE18,2,36.43,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE18,3,29.18,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE19,0,25.23,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE19,1,26.07,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE19,2,33.65,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE19,3,39.61,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE20,0,22.48,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE20,1,20.94,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE20,2,34.09,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE20,3,24.45,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE21,0,35.63,ns
