Linux 5.15.0-187-generic (node0.katieyan-315918.ldos-ut-pg0.wisc.cloudlab.us) 	09/14/26 	_x86_64_	(32 CPU)

03:59:55        CPU     %user     %nice   %system   %iowait    %steal     %idle
03:59:59         30      0.00      0.00      0.00      0.00      0.00    100.00
03:59:59         31      0.00      0.00      0.00      0.00      0.00    100.00

03:59:59        CPU     %user     %nice   %system   %iowait    %steal     %idle
04:00:00        all      3.98      0.00      0.63      0.00      0.00     95.39
04:00:00          0      0.00      0.00      0.00      0.00      0.00    100.00
04:00:00          1      0.00      0.00      0.00      0.00      0.00    100.00
04:00:00          2      0.00      0.00      0.00      0.00      0.00    100.00
04:00:00          3      0.00      0.00      0.00      0.00      0.00    100.00
04:00:00          4    100.00      0.00      0.00      0.00      0.00      0.00
04:00:00          5      0.00      0.00      0.00      0.00      0.00    100.00
04:00:00          6      0.00      0.00      0.00      0.00      0.00    100.00
04:00:00          7      0.00      0.00      0.00      0.00      0.00    100.00
04:00:00          8      0.00      0.00      0.00      0.00      0.00    100.00
04:00:00          9      0.00      0.00      0.00      0.00      0.00    100.00
04:00:00         10      0.00      0.00      0.00      0.00      0.00    100.00
04:00:00         11      0.00      0.00      0.00      0.00      0.00    100.00
04:00:00         12      0.00      0.00      0.00      0.00      0.00    100.00
04:00:00         13      0.00      0.00      0.00      0.00      0.00    100.00
04:00:00         14      0.00      0.00      0.00      0.00      0.00    100.00
04:00:00         15      0.00      0.00      1.00      0.00      0.00     99.00
04:00:00         16      0.00      0.00      0.00      0.00      0.00    100.00
04:00:00         17      0.00      0.00      0.00      0.00      0.00    100.00
04:00:00         18      0.00      0.00      1.00      0.00      0.00     99.00
04:00:00         19      0.00      0.00      0.00      0.00      0.00    100.00
04:00:00         20      0.00      0.00      0.00      0.00      0.00    100.00
04:00:00         21      0.00      0.00      0.00      0.00      0.00    100.00
04:00:00         22      0.00      0.00      0.00      0.00      0.00    100.00
04:00:00         23      0.00      0.00      0.00      0.00      0.00    100.00
04:00:00         24      0.00      0.00      0.00      0.00      0.00    100.00
04:00:00         25      0.00      0.00      0.00      0.00      0.00    100.00
04:00:00         26      0.00      0.00      0.00      0.00      0.00    100.00
04:00:00         27      0.00      0.00      0.00      0.00      0.00    100.00
04:00:00         28      0.00      0.00      0.00      0.00      0.00    100.00
04:00:00         29      0.99      0.00      0.00      0.00      0.00     99.01
04:00:00         30      0.00      0.00      0.00      0.00      0.00    100.00
04:00:00         31     26.26      0.00     18.18      0.00      0.00     55.56

04:00:00        CPU     %user     %nice   %system   %iowait    %steal     %idle
04:00:01        all      3.22      0.00      0.00      0.00      0.00     96.78
04:00:01          0      0.00      0.00      0.00      0.00      0.00    100.00
04:00:01          1      0.00      0.00      0.00      0.00      0.00    100.00
04:00:01          2      1.98      0.00      0.00      0.00      0.00     98.02
04:00:01          3      0.00      0.00      0.00      0.00      0.00    100.00
04:00:01          4    100.00      0.00      0.00      0.00      0.00      0.00
04:00:01          5      0.00      0.00      0.00      0.00      0.00    100.00
04:00:01          6      0.00      0.00      0.00      0.00      0.00    100.00
04:00:01          7      0.00      0.00      0.00      0.00      0.00    100.00
04:00:01          8      0.00      0.00      0.00      0.00      0.00    100.00
04:00:01          9      0.00      0.00      0.00      0.00      0.00    100.00
04:00:01         10      0.00      0.00      0.00      0.00      0.00    100.00
04:00:01         11      0.99      0.00      0.00      0.00      0.00     99.01
04:00:01         12      0.00      0.00      0.00      0.00      0.00    100.00
04:00:01         13      0.00      0.00      0.00      0.00      0.00    100.00
04:00:01         14      0.00      0.00      0.00      0.00      0.00    100.00
04:00:01         15      0.00      0.00      0.00      0.00      0.00    100.00
04:00:01         16      0.00      0.00      0.00      0.00      0.00    100.00
04:00:01         17      0.00      0.00      0.00      0.00      0.00    100.00
04:00:01         18      0.00      0.00      0.00      0.00      0.00    100.00
04:00:01         19      0.00      0.00      0.00      0.00      0.00    100.00
04:00:01         20      0.00      0.00      0.00      0.00      0.00    100.00
04:00:01         21      0.00      0.00      0.00      0.00      0.00    100.00
04:00:01         22      0.00      0.00      0.00      0.00      0.00    100.00
04:00:01         23      0.00      0.00      0.00      0.00      0.00    100.00
04:00:01         24      0.00      0.00      0.00      0.00      0.00    100.00
04:00:01         25      0.00      0.00      0.00      0.00      0.00    100.00
04:00:01         26      0.00      0.00      0.00      0.00      0.00    100.00
04:00:01         27      0.00      0.00      0.00      0.00      0.00    100.00
04:00:01         28      0.00      0.00      0.00      0.00      0.00    100.00
04:00:01         29      0.00      0.00      0.00      0.00      0.00    100.00
04:00:01         30      0.00      0.00      0.00      0.00      0.00    100.00
04:00:01         31      0.00      0.00      0.00      0.00      0.00    100.00

04:00:01        CPU     %user     %nice   %system   %iowait    %steal     %idle
04:00:02        all      3.13      0.00      0.03      0.00      0.00     96.84
04:00:02          0      0.00      0.00      0.00      0.00      0.00    100.00
04:00:02          1      0.00      0.00      0.00      0.00      0.00    100.00
04:00:02          2      0.00      0.00      0.00      0.00      0.00    100.00
04:00:02          3      0.00      0.00      0.00      0.00      0.00    100.00
04:00:02          4    100.00      0.00      0.00      0.00      0.00      0.00
04:00:02          5      0.00      0.00      0.00      0.00      0.00    100.00
04:00:02          6      0.00      0.00      0.00      0.00      0.00    100.00
04:00:02          7      0.00      0.00      0.00      0.00      0.00    100.00
04:00:02          8      0.00      0.00      0.00      0.00      0.00    100.00
04:00:02          9      0.00      0.00      0.00      0.00      0.00    100.00
04:00:02         10      0.00      0.00      0.00      0.00      0.00    100.00
04:00:02         11      0.00      0.00      0.00      0.00      0.00    100.00
04:00:02         12      0.00      0.00      0.00      0.00      0.00    100.00
04:00:02         13      0.00      0.00      0.00      0.00      0.00    100.00
04:00:02         14      0.00      0.00      0.00      0.00      0.00    100.00
04:00:02         15      0.00      0.00      0.99      0.00      0.00     99.01
04:00:02         16      0.00      0.00      0.00      0.00      0.00    100.00
04:00:02         17      0.00      0.00      0.00      0.00      0.00    100.00
04:00:02         18      0.00      0.00      0.00      0.00      0.00    100.00
04:00:02         19      0.00      0.00      0.00      0.00      0.00    100.00
04:00:02         20      0.00      0.00      0.00      0.00      0.00    100.00
04:00:02         21      0.00      0.00      0.00      0.00      0.00    100.00
04:00:02         22      0.00      0.00      0.00      0.00      0.00    100.00
04:00:02         23      0.00      0.00      0.00      0.00      0.00    100.00
04:00:02         24      0.00      0.00      0.00      0.00      0.00    100.00
04:00:02         25      0.00      0.00      0.00      0.00      0.00    100.00
04:00:02         26      0.00      0.00      0.00      0.00      0.00    100.00
04:00:02         27      0.00      0.00      0.00      0.00      0.00    100.00
04:00:02         28      0.00      0.00      0.00      0.00      0.00    100.00
04:00:02         29      0.00      0.00      0.00      0.00      0.00    100.00
04:00:02         30      0.00      0.00      0.00      0.00      0.00    100.00
04:00:02         31      0.00      0.00      0.00      0.00      0.00    100.00

04:00:02        CPU     %user     %nice   %system   %iowait    %steal     %idle
04:00:03        all      3.16      0.00      0.00      0.00      0.00     96.84
04:00:03          0      0.00      0.00      0.00      0.00      0.00    100.00
04:00:03          1      0.00      0.00      0.00      0.00      0.00    100.00
04:00:03          2      1.00      0.00      0.00      0.00      0.00     99.00
04:00:03          3      0.00      0.00      0.00      0.00      0.00    100.00
04:00:03          4    100.00      0.00      0.00      0.00      0.00      0.00
04:00:03          5      0.00      0.00      0.00      0.00      0.00    100.00
04:00:03          6      0.00      0.00      0.00      0.00      0.00    100.00
04:00:03          7      0.00      0.00      0.00      0.00      0.00    100.00
04:00:03          8      0.00      0.00      0.00      0.00      0.00    100.00
04:00:03          9      0.00      0.00      0.00      0.00      0.00    100.00
04:00:03         10      0.00      0.00      0.00      0.00      0.00    100.00
04:00:03         11      0.00      0.00      0.00      0.00      0.00    100.00
04:00:03         12      0.00      0.00      0.00      0.00      0.00    100.00
04:00:03         13      0.00      0.00      0.00      0.00      0.00    100.00
04:00:03         14      0.00      0.00      0.00      0.00      0.00    100.00
04:00:03         15      0.00      0.00      0.00      0.00      0.00    100.00
04:00:03         16      0.00      0.00      0.00      0.00      0.00    100.00
04:00:03         17      0.00      0.00      0.00      0.00      0.00    100.00
04:00:03         18      0.00      0.00      0.00      0.00      0.00    100.00
04:00:03         19      0.00      0.00      0.00      0.00      0.00    100.00
04:00:03         20      0.00      0.00      0.00      0.00      0.00    100.00
04:00:03         21      0.00      0.00      0.00      0.00      0.00    100.00
04:00:03         22      0.00      0.00      0.00      0.00      0.00    100.00
04:00:03         23      0.00      0.00      0.00      0.00      0.00    100.00
04:00:03         24      0.00      0.00      0.00      0.00      0.00    100.00
04:00:03         25      0.00      0.00      0.00      0.00      0.00    100.00
04:00:03         26      0.00      0.00      0.00      0.00      0.00    100.00
04:00:03         27      0.00      0.00      0.00      0.00      0.00    100.00
04:00:03         28      0.00      0.00      0.00      0.00      0.00    100.00
04:00:03         29      0.00      0.00      0.00      0.00      0.00    100.00
04:00:03         30      0.00      0.00      0.00      0.00      0.00    100.00
04:00:03         31      0.00      0.00      0.00      0.00      0.00    100.00

04:00:03        CPU     %user     %nice   %system   %iowait    %steal     %idle
04:00:04        all      3.19      0.00      0.03      0.00      0.00     96.78
04:00:04          0      0.99      0.00      0.00      0.00      0.00     99.01
04:00:04          1      0.00      0.00      0.00      0.00      0.00    100.00
04:00:04          2      0.99      0.00      0.99      0.00      0.00     98.02
04:00:04          3      0.00      0.00      0.00      0.00      0.00    100.00
04:00:04          4    100.00      0.00      0.00      0.00      0.00      0.00
04:00:04          5      0.00      0.00      0.00      0.00      0.00    100.00
